Date,Platform,Post Type,Post Content,Hashtags,Likes,Comments,Shares,Follows,Reach
2024-08-01,Facebook,Video,Tutorial,#launch,68,186,22,1,3398
2024-08-02,Instagram,Text,Industry News,#event,987,66,49,17,8992
2024-08-03,Instagram,Text,Product Launch,#launch,638,105,45,48,9216
2024-08-04,Instagram,Text,Product Launch,#testimonial,154,65,12,1,6606
2024-08-05,LinkedIn,Image,Product Launch,#event,526,187,49,18,2895
2024-08-06,Instagram,Video,Behind the Scenes,#news,844,29,43,6,7188
2024-08-07,Twitter,Text,Event Promo,#news,240,60,73,44,5605
2024-08-08,Facebook,Video,Product Launch,#launch,194,124,57,31,7591
2024-08-09,Twitter,Image,Event Promo,#news,426,140,63,43,1319
2024-08-10,Facebook,Video,Product Update,#update,760,87,93,39,3122
2024-08-11,Twitter,Story,Behind the Scenes,#launch,199,127,42,1,3767
2024-08-12,YouTube,Text,Product Launch,#behindthescenes,290,199,70,8,6696
2024-08-13,YouTube,Video,Customer Testimonial,#event,350,195,99,16,3488
2024-08-14,YouTube,Image,Product Launch,#behindthescenes,708,42,28,28,2771
2024-08-15,YouTube,Image,Event Promo,#update,683,15,81,48,1330
2024-08-16,Facebook,Story,Product Update,#news,396,134,85,36,5867
2024-08-17,Instagram,Link,Event Promo,#behindthescenes,531,74,66,38,4130
2024-08-18,Facebook,Link,Product Update,#news,599,171,9,28,3483
2024-08-19,YouTube,Story,Product Update,#event,449,191,52,8,6253
2024-08-20,Facebook,Link,Behind the Scenes,#testimonial,721,142,99,48,3067
2024-08-21,Twitter,Image,Tutorial,#launch,366,112,81,26,5860
2024-08-22,LinkedIn,Image,Tutorial,#behindthescenes,858,78,51,27,5413
2024-08-23,Facebook,Image,Product Update,#tutorial,410,159,99,48,9723
2024-08-24,Twitter,Story,Behind the Scenes,#launch,135,106,67,49,3659
2024-08-25,YouTube,Text,Event Promo,#news,819,8,67,40,5012
2024-08-26,Facebook,Text,Event Promo,#event,868,116,41,46,7204
2024-08-27,LinkedIn,Video,Customer Testimonial,#launch,264,182,12,33,4701
2024-08-28,YouTube,Story,Event Promo,#testimonial,761,53,1,16,6326
2024-08-29,Twitter,Story,Customer Testimonial,#testimonial,558,79,80,25,9773
2024-08-30,Instagram,Image,Tutorial,#event,220,107,47,33,3271
2024-08-31,YouTube,Link,Tutorial,#tutorial,233,145,24,3,8413
2024-09-01,Twitter,Story,Industry News,#launch,72,133,37,29,9681
2024-09-02,Instagram,Link,Behind the Scenes,#testimonial,185,105,43,17,8140
2024-09-03,Facebook,Video,Product Update,#testimonial,389,195,92,32,6409
2024-09-04,Facebook,Story,Industry News,#news,725,126,70,32,2162
2024-09-05,LinkedIn,Video,Product Update,#testimonial,731,49,92,45,5001
2024-09-06,YouTube,Video,Behind the Scenes,#tutorial,883,10,27,19,7162
2024-09-07,YouTube,Text,Product Update,#tutorial,332,111,50,14,6074
2024-09-08,Facebook,Image,Event Promo,#update,50,11,87,3,9054
2024-09-09,YouTube,Image,Tutorial,#tutorial,319,110,2,36,2259
2024-09-10,Twitter,Text,Event Promo,#launch,954,121,88,2,7461
2024-09-11,LinkedIn,Image,Product Update,#launch,106,170,40,27,2315
2024-09-12,Instagram,Link,Customer Testimonial,#testimonial,228,32,92,2,5066
2024-09-13,Instagram,Video,Industry News,#launch,822,140,46,9,6319
2024-09-14,Instagram,Image,Behind the Scenes,#behindthescenes,545,137,33,7,4631
2024-09-15,YouTube,Text,Behind the Scenes,#update,936,50,3,23,2154
2024-09-16,YouTube,Video,Tutorial,#event,409,115,83,42,7043
2024-09-17,Facebook,Image,Behind the Scenes,#launch,551,59,25,42,2440
2024-09-18,Twitter,Video,Product Launch,#testimonial,903,46,65,33,1233
2024-09-19,Instagram,Link,Product Update,#testimonial,960,182,66,47,5417
2024-09-20,YouTube,Link,Tutorial,#update,915,48,29,41,9131
2024-09-21,YouTube,Image,Product Launch,#behindthescenes,449,193,26,21,9589
2024-09-22,YouTube,Image,Behind the Scenes,#launch,664,46,92,39,4163
2024-09-23,YouTube,Text,Industry News,#update,495,5,6,3,2519
2024-09-24,Facebook,Text,Industry News,#launch,387,103,13,21,7313
2024-09-25,Twitter,Text,Behind the Scenes,#tutorial,484,75,14,35,2504
2024-09-26,YouTube,Video,Product Update,#news,979,199,18,42,2082
2024-09-27,Twitter,Text,Product Launch,#launch,768,169,21,26,8845
2024-09-28,Facebook,Link,Industry News,#event,854,99,74,13,6086
2024-09-29,Facebook,Text,Product Launch,#tutorial,404,41,21,44,7993
2024-09-30,Facebook,Image,Product Update,#testimonial,391,59,83,0,4512
2024-10-01,LinkedIn,Image,Product Launch,#update,89,190,89,42,9684
2024-10-02,Facebook,Story,Product Launch,#testimonial,62,71,51,13,5900
2024-10-03,Twitter,Story,Tutorial,#behindthescenes,823,145,49,36,4438
2024-10-04,YouTube,Video,Industry News,#tutorial,725,111,74,42,3836
2024-10-05,Facebook,Story,Customer Testimonial,#testimonial,502,16,25,17,3963
2024-10-06,LinkedIn,Text,Tutorial,#tutorial,180,72,13,32,2516
2024-10-07,Instagram,Story,Event Promo,#update,857,130,84,1,7337
2024-10-08,YouTube,Video,Event Promo,#news,402,112,95,15,5106
2024-10-09,LinkedIn,Link,Tutorial,#tutorial,385,135,54,22,8380
2024-10-10,LinkedIn,Text,Product Update,#testimonial,501,145,84,19,2445
2024-10-11,Twitter,Story,Tutorial,#tutorial,279,172,2,24,1064
2024-10-12,Facebook,Link,Customer Testimonial,#behindthescenes,238,89,15,20,1444
2024-10-13,Instagram,Link,Behind the Scenes,#launch,84,77,70,20,4857
2024-10-14,Instagram,Link,Product Launch,#update,371,14,18,29,9769
2024-10-15,Twitter,Image,Tutorial,#tutorial,493,105,96,29,1682
2024-10-16,Twitter,Video,Behind the Scenes,#behindthescenes,891,5,53,10,1337
2024-10-17,Twitter,Video,Behind the Scenes,#news,60,116,46,6,2082
2024-10-18,LinkedIn,Video,Tutorial,#news,628,30,71,36,8430
2024-10-19,Twitter,Story,Customer Testimonial,#tutorial,363,160,14,27,3997
2024-10-20,Facebook,Video,Behind the Scenes,#launch,416,9,60,23,6704
2024-10-21,YouTube,Video,Industry News,#testimonial,886,67,50,33,7842
2024-10-22,LinkedIn,Story,Industry News,#news,278,88,94,49,5409
2024-10-23,Instagram,Story,Behind the Scenes,#update,709,46,58,13,6384
2024-10-24,YouTube,Video,Behind the Scenes,#news,213,151,60,10,9936
2024-10-25,YouTube,Link,Event Promo,#update,434,52,60,18,1619
2024-10-26,LinkedIn,Text,Tutorial,#testimonial,100,176,17,14,3540
2024-10-27,LinkedIn,Image,Product Update,#tutorial,416,163,90,27,2117
2024-10-28,LinkedIn,Link,Product Update,#event,322,123,10,29,8365
2024-10-29,Twitter,Story,Customer Testimonial,#event,180,29,22,32,4836
2024-10-30,Facebook,Image,Customer Testimonial,#tutorial,565,182,99,2,5489
2024-10-31,Facebook,Link,Product Launch,#testimonial,981,120,25,37,5676
2024-11-01,Facebook,Text,Event Promo,#launch,284,170,18,47,4390
2024-11-02,Twitter,Video,Product Launch,#event,150,150,24,47,7607
2024-11-03,Facebook,Video,Tutorial,#behindthescenes,632,122,13,2,6542
2024-11-04,Instagram,Image,Product Launch,#tutorial,505,157,60,0,2619
2024-11-05,Twitter,Text,Customer Testimonial,#tutorial,647,58,16,34,2599
2024-11-06,LinkedIn,Image,Event Promo,#behindthescenes,59,63,50,31,5044
2024-11-07,LinkedIn,Image,Product Update,#update,982,10,92,3,8944
2024-11-08,YouTube,Text,Customer Testimonial,#event,55,50,17,13,8386
2024-11-09,Twitter,Text,Product Update,#behindthescenes,186,39,80,41,5973
2024-11-10,Instagram,Link,Customer Testimonial,#update,260,62,17,11,6964
2024-11-11,Instagram,Story,Event Promo,#event,600,187,99,34,7270
2024-11-12,Twitter,Link,Tutorial,#update,985,67,26,42,8067
2024-11-13,Twitter,Link,Event Promo,#update,736,93,96,39,4309
2024-11-14,Instagram,Story,Industry News,#event,362,182,21,16,4525
2024-11-15,Instagram,Story,Industry News,#news,908,173,21,2,5296
2024-11-16,Twitter,Image,Event Promo,#launch,254,21,17,48,5321
2024-11-17,Facebook,Text,Tutorial,#event,306,61,69,43,3831
2024-11-18,Twitter,Link,Customer Testimonial,#update,892,101,26,43,2363
2024-11-19,Facebook,Video,Behind the Scenes,#tutorial,53,29,97,45,1803
2024-11-20,Instagram,Video,Product Update,#behindthescenes,503,80,66,26,3404
2024-11-21,YouTube,Text,Product Update,#tutorial,504,55,5,14,6423
2024-11-22,LinkedIn,Story,Behind the Scenes,#update,934,93,19,15,2291
2024-11-23,Instagram,Image,Product Launch,#news,704,192,88,11,4676
2024-11-24,Twitter,Text,Behind the Scenes,#behindthescenes,995,79,56,2,4018
2024-11-25,Facebook,Story,Product Update,#behindthescenes,301,195,50,26,6898
2024-11-26,Instagram,Image,Industry News,#launch,984,71,12,43,4350
2024-11-27,YouTube,Link,Tutorial,#launch,646,85,30,40,6219
2024-11-28,Facebook,Text,Event Promo,#update,549,29,93,10,3213
2024-11-29,Twitter,Story,Product Update,#event,483,159,77,17,3019
2024-11-30,Facebook,Image,Behind the Scenes,#behindthescenes,752,188,11,41,8622
2024-12-01,Facebook,Story,Behind the Scenes,#news,643,13,70,33,3684
2024-12-02,YouTube,Text,Product Update,#launch,191,113,77,47,6504
2024-12-03,Instagram,Image,Tutorial,#launch,673,40,34,15,2319
2024-12-04,Instagram,Story,Customer Testimonial,#tutorial,64,53,67,42,4762
2024-12-05,Instagram,Image,Customer Testimonial,#event,926,95,86,6,8888
2024-12-06,Instagram,Video,Product Update,#behindthescenes,138,109,17,2,2718
2024-12-07,LinkedIn,Image,Product Launch,#behindthescenes,106,87,76,49,6905
2024-12-08,Facebook,Image,Tutorial,#testimonial,467,121,74,4,3569
2024-12-09,Twitter,Video,Tutorial,#launch,92,166,16,1,5812
2024-12-10,LinkedIn,Image,Industry News,#news,326,157,20,34,3598
2024-12-11,Facebook,Text,Behind the Scenes,#event,116,61,9,40,3406
2024-12-12,Instagram,Link,Behind the Scenes,#event,221,186,1,3,1535
2024-12-13,Instagram,Story,Tutorial,#event,881,86,60,9,4006
2024-12-14,Instagram,Story,Behind the Scenes,#tutorial,576,13,32,20,4848
2024-12-15,Instagram,Link,Product Update,#testimonial,155,194,63,31,2166
2024-12-16,Instagram,Story,Product Launch,#behindthescenes,81,61,34,39,1594
2024-12-17,Twitter,Text,Tutorial,#behindthescenes,195,138,59,14,3743
2024-12-18,Facebook,Image,Event Promo,#behindthescenes,491,164,15,36,6396
2024-12-19,YouTube,Text,Product Update,#testimonial,430,132,23,38,8557
2024-12-20,Twitter,Text,Industry News,#update,953,20,20,14,3375
2024-12-21,LinkedIn,Video,Product Update,#launch,356,124,6,11,7987
2024-12-22,Twitter,Image,Event Promo,#update,957,167,82,0,1326
2024-12-23,Facebook,Story,Behind the Scenes,#launch,507,198,92,44,9171
2024-12-24,Twitter,Video,Behind the Scenes,#launch,72,52,8,40,5410
2024-12-25,LinkedIn,Text,Product Launch,#event,994,155,17,0,7816
2024-12-26,Twitter,Story,Industry News,#launch,764,144,12,34,4005
2024-12-27,YouTube,Story,Product Update,#event,436,148,26,29,1252
2024-12-28,Instagram,Text,Product Launch,#tutorial,122,172,54,32,7114
2024-12-29,Facebook,Text,Tutorial,#news,953,64,72,1,6024
2024-12-30,Twitter,Text,Customer Testimonial,#update,321,84,80,5,2007
2024-12-31,LinkedIn,Video,Behind the Scenes,#update,433,33,17,5,8279
2025-01-01,YouTube,Link,Tutorial,#launch,776,122,39,21,9020
2025-01-02,YouTube,Text,Event Promo,#update,328,197,68,28,5403
2025-01-03,Facebook,Link,Product Launch,#testimonial,777,47,96,15,2449
2025-01-04,YouTube,Link,Event Promo,#launch,653,184,75,29,4245
2025-01-05,Instagram,Image,Tutorial,#launch,363,32,62,36,8539
2025-01-06,YouTube,Image,Behind the Scenes,#update,481,12,43,21,3144
2025-01-07,Instagram,Image,Product Update,#testimonial,241,83,3,31,5166
2025-01-08,Twitter,Video,Customer Testimonial,#event,537,107,43,46,8552
2025-01-09,Facebook,Link,Event Promo,#news,467,106,94,6,1519
2025-01-10,Twitter,Text,Product Launch,#event,243,180,84,16,7593
2025-01-11,Twitter,Text,Customer Testimonial,#news,260,22,17,25,1688
2025-01-12,LinkedIn,Story,Event Promo,#event,474,5,86,17,5859
2025-01-13,Twitter,Video,Product Launch,#behindthescenes,699,183,41,37,1176
2025-01-14,LinkedIn,Story,Product Update,#tutorial,955,150,26,20,2502
2025-01-15,Instagram,Story,Customer Testimonial,#event,793,64,50,12,9251
2025-01-16,Twitter,Video,Tutorial,#news,640,90,85,30,9793
2025-01-17,Twitter,Text,Behind the Scenes,#launch,770,156,49,7,7975
2025-01-18,Instagram,Story,Tutorial,#update,251,115,71,5,6417
2025-01-19,Facebook,Story,Industry News,#update,853,34,10,33,7539
2025-01-20,LinkedIn,Link,Customer Testimonial,#testimonial,235,34,85,35,6386
2025-01-21,Facebook,Story,Product Update,#behindthescenes,629,101,47,3,2034
2025-01-22,YouTube,Text,Tutorial,#event,412,15,57,44,3025
2025-01-23,Instagram,Story,Event Promo,#news,791,128,93,24,4239
2025-01-24,LinkedIn,Story,Customer Testimonial,#tutorial,745,94,45,20,8830
2025-01-25,Twitter,Link,Product Update,#update,165,179,70,47,6664
2025-01-26,LinkedIn,Video,Product Launch,#update,211,102,5,43,1831
2025-01-27,YouTube,Text,Behind the Scenes,#launch,819,168,15,37,7673
2025-01-28,Instagram,Story,Product Update,#tutorial,699,20,52,32,9552
2025-01-29,LinkedIn,Text,Industry News,#launch,544,10,66,2,1187
2025-01-30,LinkedIn,Link,Customer Testimonial,#launch,50,91,79,12,9317
2025-01-31,YouTube,Story,Product Launch,#behindthescenes,384,149,21,16,3678
2025-02-01,LinkedIn,Link,Product Launch,#tutorial,681,141,68,3,8886
2025-02-02,Instagram,Story,Customer Testimonial,#tutorial,158,15,32,42,5819
2025-02-03,Instagram,Story,Product Launch,#testimonial,873,69,32,7,7632
2025-02-04,YouTube,Link,Industry News,#testimonial,401,170,19,36,3224
2025-02-05,Facebook,Video,Industry News,#tutorial,144,7,59,44,7141
2025-02-06,Twitter,Text,Industry News,#testimonial,728,63,56,22,3983
2025-02-07,YouTube,Link,Product Update,#event,885,184,2,27,5176
2025-02-08,Facebook,Link,Behind the Scenes,#testimonial,381,113,59,20,6486
2025-02-09,Twitter,Text,Customer Testimonial,#tutorial,89,82,17,40,5135
2025-02-10,Twitter,Video,Behind the Scenes,#testimonial,363,18,30,0,2030
2025-02-11,Twitter,Story,Event Promo,#behindthescenes,964,104,41,5,3717
2025-02-12,Twitter,Link,Product Launch,#event,206,195,67,28,7396
2025-02-13,LinkedIn,Story,Event Promo,#news,556,189,74,10,4522
2025-02-14,LinkedIn,Video,Tutorial,#update,857,164,92,27,7329
2025-02-15,Instagram,Link,Product Launch,#news,750,116,78,25,6222
2025-02-16,Twitter,Story,Product Update,#news,862,112,19,0,5741
2025-02-17,LinkedIn,Story,Industry News,#launch,622,166,54,17,4030
2025-02-18,Twitter,Story,Industry News,#update,474,79,88,46,3335
2025-02-19,YouTube,Video,Behind the Scenes,#tutorial,198,177,60,18,1452
2025-02-20,Instagram,Text,Event Promo,#launch,255,49,94,36,7874
2025-02-21,Instagram,Link,Industry News,#launch,556,15,49,47,5552
2025-02-22,Facebook,Story,Event Promo,#launch,997,191,72,49,6095
2025-02-23,Twitter,Link,Customer Testimonial,#tutorial,938,82,69,7,4713
2025-02-24,LinkedIn,Text,Tutorial,#news,372,50,77,47,2772
2025-02-25,Twitter,Link,Customer Testimonial,#testimonial,706,8,66,9,1095
2025-02-26,LinkedIn,Link,Event Promo,#behindthescenes,414,178,27,23,2675
2025-02-27,Instagram,Text,Product Launch,#news,993,199,46,6,9023
2025-02-28,YouTube,Image,Customer Testimonial,#update,495,98,10,18,3795
2025-03-01,LinkedIn,Video,Event Promo,#behindthescenes,63,91,20,6,4608
2025-03-02,Instagram,Link,Product Update,#update,292,63,93,15,5825
2025-03-03,Facebook,Link,Product Launch,#update,729,22,55,34,7516
2025-03-04,LinkedIn,Image,Tutorial,#update,95,161,45,32,2701
2025-03-05,Twitter,Image,Industry News,#testimonial,815,73,9,45,5233
2025-03-06,Twitter,Link,Tutorial,#news,542,131,82,47,9458
2025-03-07,YouTube,Story,Industry News,#launch,409,157,44,42,4331
2025-03-08,LinkedIn,Video,Product Update,#behindthescenes,532,38,95,28,3890
2025-03-09,LinkedIn,Image,Behind the Scenes,#launch,569,136,78,9,5417
2025-03-10,Twitter,Story,Product Update,#tutorial,219,17,50,8,9440
2025-03-11,Facebook,Text,Industry News,#behindthescenes,719,14,24,32,3129
2025-03-12,Twitter,Video,Product Launch,#tutorial,597,102,80,7,6154
2025-03-13,Instagram,Link,Product Launch,#tutorial,782,44,45,16,3294
2025-03-14,Twitter,Story,Tutorial,#news,929,29,46,6,9916
2025-03-15,Instagram,Image,Product Launch,#testimonial,990,195,6,18,7054
2025-03-16,LinkedIn,Text,Customer Testimonial,#launch,913,94,49,10,3927
2025-03-17,YouTube,Text,Event Promo,#tutorial,231,94,21,45,4930
2025-03-18,YouTube,Story,Tutorial,#launch,980,57,4,48,1445
2025-03-19,LinkedIn,Text,Tutorial,#event,730,189,63,32,4490
2025-03-20,Facebook,Image,Event Promo,#launch,163,127,5,23,5241
2025-03-21,YouTube,Story,Customer Testimonial,#launch,449,86,72,1,7664
2025-03-22,Instagram,Video,Customer Testimonial,#behindthescenes,594,128,7,42,1742
2025-03-23,YouTube,Text,Behind the Scenes,#testimonial,361,127,74,1,5800
2025-03-24,Facebook,Story,Customer Testimonial,#launch,846,85,44,0,1877
2025-03-25,LinkedIn,Text,Product Launch,#testimonial,527,42,41,19,3079
2025-03-26,YouTube,Image,Customer Testimonial,#news,979,36,17,30,4379
2025-03-27,YouTube,Story,Event Promo,#update,635,126,17,43,6057
2025-03-28,LinkedIn,Text,Product Update,#event,651,193,44,11,5824
2025-03-29,Twitter,Story,Behind the Scenes,#launch,554,31,39,25,9494
2025-03-30,Facebook,Link,Customer Testimonial,#tutorial,556,132,48,12,7888
2025-03-31,LinkedIn,Video,Event Promo,#event,717,152,19,10,4731
2025-04-01,YouTube,Story,Event Promo,#launch,632,118,95,27,8399
2025-04-02,Instagram,Image,Event Promo,#behindthescenes,827,136,53,15,5973
2025-04-03,Instagram,Text,Product Launch,#launch,141,55,69,19,2572
2025-04-04,Twitter,Video,Industry News,#event,521,8,77,31,3516
2025-04-05,YouTube,Text,Behind the Scenes,#behindthescenes,674,163,50,12,2236
2025-04-06,Twitter,Link,Event Promo,#launch,247,156,81,21,4708
2025-04-07,Facebook,Text,Customer Testimonial,#update,565,44,52,8,7048
2025-04-08,YouTube,Video,Behind the Scenes,#update,417,20,70,39,9476
2025-04-09,Instagram,Text,Behind the Scenes,#update,808,134,97,45,8183
2025-04-10,Facebook,Image,Event Promo,#event,784,5,6,10,6477
2025-04-11,Twitter,Story,Industry News,#behindthescenes,806,112,4,49,5501
2025-04-12,Facebook,Video,Industry News,#update,233,79,93,36,4861
2025-04-13,Facebook,Video,Product Update,#tutorial,206,130,48,35,9490
2025-04-14,LinkedIn,Video,Tutorial,#update,439,23,52,21,1015
2025-04-15,Instagram,Story,Tutorial,#event,95,39,73,17,5384
2025-04-16,YouTube,Story,Industry News,#news,699,175,38,13,5306
2025-04-17,YouTube,Link,Customer Testimonial,#news,304,167,19,34,5901
2025-04-18,Instagram,Text,Product Launch,#testimonial,292,26,26,0,7216
2025-04-19,Twitter,Link,Tutorial,#behindthescenes,234,101,9,31,6278
2025-04-20,Instagram,Image,Event Promo,#event,241,100,17,36,1933
2025-04-21,Twitter,Story,Industry News,#event,796,110,68,10,9806
2025-04-22,Twitter,Link,Event Promo,#event,477,78,95,18,3594
2025-04-23,Twitter,Link,Industry News,#tutorial,970,161,33,3,2835
2025-04-24,Twitter,Image,Product Update,#news,584,19,35,30,8977
2025-04-25,Facebook,Story,Tutorial,#news,921,68,71,24,5358
2025-04-26,Facebook,Text,Event Promo,#event,879,159,28,23,3663
2025-04-27,Instagram,Video,Event Promo,#tutorial,666,68,33,27,6024
2025-04-28,YouTube,Link,Product Launch,#behindthescenes,518,162,52,43,6925
2025-04-29,Twitter,Image,Behind the Scenes,#testimonial,96,175,58,8,6379
2025-04-30,Instagram,Image,Event Promo,#testimonial,367,33,57,11,2654
2025-05-01,Facebook,Story,Tutorial,#news,684,47,76,16,6489
2025-05-02,YouTube,Image,Product Launch,#update,559,160,22,9,9653
2025-05-03,Facebook,Image,Tutorial,#news,266,61,7,18,4785
2025-05-04,Twitter,Story,Event Promo,#behindthescenes,857,37,20,37,2586
2025-05-05,LinkedIn,Image,Behind the Scenes,#update,597,83,39,19,1589
2025-05-06,Twitter,Story,Customer Testimonial,#event,545,196,53,49,8521
2025-05-07,Twitter,Story,Event Promo,#update,880,176,87,48,7878
2025-05-08,Twitter,Story,Product Update,#event,635,180,86,31,5513
2025-05-09,Twitter,Video,Tutorial,#testimonial,969,121,3,14,3783
2025-05-10,Facebook,Link,Tutorial,#launch,998,38,88,2,4382
2025-05-11,YouTube,Image,Industry News,#update,703,155,44,20,4467
2025-05-12,LinkedIn,Story,Product Update,#event,211,143,58,11,8712
2025-05-13,Facebook,Link,Behind the Scenes,#behindthescenes,567,143,91,3,9035
2025-05-14,Facebook,Story,Event Promo,#testimonial,527,116,20,42,3587
2025-05-15,YouTube,Link,Industry News,#event,411,65,88,30,8244
2025-05-16,LinkedIn,Image,Behind the Scenes,#event,967,113,80,2,3264
2025-05-17,YouTube,Image,Tutorial,#event,375,196,74,11,6919
2025-05-18,YouTube,Story,Product Update,#testimonial,764,85,20,34,9976
2025-05-19,YouTube,Text,Customer Testimonial,#testimonial,171,108,82,6,9307
2025-05-20,Instagram,Image,Event Promo,#news,936,63,89,44,6280
2025-05-21,Twitter,Video,Product Update,#launch,117,37,72,49,8798
2025-05-22,Instagram,Image,Customer Testimonial,#testimonial,87,42,39,34,6393
2025-05-23,Twitter,Text,Behind the Scenes,#news,996,176,36,44,6973
2025-05-24,YouTube,Video,Customer Testimonial,#testimonial,186,23,23,20,8774
2025-05-25,YouTube,Link,Industry News,#behindthescenes,604,50,63,8,7293
2025-05-26,Facebook,Video,Industry News,#update,471,29,16,30,5112
2025-05-27,Instagram,Video,Industry News,#event,150,50,99,33,5986
2025-05-28,LinkedIn,Video,Product Update,#update,119,6,30,42,7185
2025-05-29,Facebook,Story,Behind the Scenes,#update,805,146,62,44,6103
2025-05-30,LinkedIn,Link,Tutorial,#tutorial,360,71,4,46,7361
2025-05-31,YouTube,Video,Product Launch,#testimonial,319,165,71,31,1917
2025-06-01,YouTube,Video,Product Update,#behindthescenes,713,67,97,15,3617
2025-06-02,Twitter,Story,Product Launch,#update,487,199,98,23,3197
2025-06-03,YouTube,Text,Behind the Scenes,#behindthescenes,117,131,89,48,7486
2025-06-04,YouTube,Video,Industry News,#event,515,107,17,38,3855
2025-06-05,LinkedIn,Link,Event Promo,#testimonial,362,163,8,3,6176
2025-06-06,Instagram,Text,Tutorial,#update,59,187,74,18,4459
2025-06-07,Twitter,Video,Tutorial,#event,841,178,49,36,9281
2025-06-08,Instagram,Video,Behind the Scenes,#behindthescenes,390,183,94,16,4281
2025-06-09,Twitter,Text,Behind the Scenes,#behindthescenes,599,132,95,6,6131
2025-06-10,Twitter,Image,Product Launch,#behindthescenes,252,161,59,41,4110
2025-06-11,Twitter,Image,Industry News,#update,733,95,81,41,9615
2025-06-12,Instagram,Link,Product Launch,#update,860,150,4,18,9309
2025-06-13,Facebook,Link,Tutorial,#news,592,166,66,44,7138
2025-06-14,YouTube,Text,Event Promo,#tutorial,523,122,2,23,1571
2025-06-15,Facebook,Text,Industry News,#testimonial,495,158,43,8,7286
2025-06-16,Facebook,Story,Event Promo,#behindthescenes,124,180,72,15,1923
2025-06-17,Instagram,Text,Product Update,#launch,136,176,62,34,4131
2025-06-18,Facebook,Story,Customer Testimonial,#tutorial,834,89,68,16,9611
2025-06-19,YouTube,Image,Tutorial,#tutorial,654,132,52,19,4041
2025-06-20,YouTube,Video,Product Update,#launch,580,134,18,38,1900
2025-06-21,YouTube,Link,Industry News,#event,170,161,86,37,3105
2025-06-22,Facebook,Link,Industry News,#launch,495,59,45,18,3183
2025-06-23,Facebook,Text,Tutorial,#event,608,59,32,31,2728
2025-06-24,Instagram,Video,Product Update,#testimonial,362,68,68,32,9133
2025-06-25,Twitter,Image,Customer Testimonial,#launch,951,141,80,39,6758
2025-06-26,LinkedIn,Text,Event Promo,#launch,189,137,77,46,7117
2025-06-27,YouTube,Story,Product Update,#launch,190,103,12,0,4754
2025-06-28,Instagram,Text,Industry News,#behindthescenes,228,126,88,25,3912
2025-06-29,YouTube,Video,Product Launch,#news,118,174,23,13,2986
